category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,URL,cpu,ssd_capacity,gpu_full_name,os,screen_diagonal,ram,auto_time,weight_kg,matrix,ram_type,case_material,cpu_model,processor_brand,ghz_processor,processor_cores,screen_size,brightness,touch_screen,battery_capacity,screen_coating,gpu_type,brand_graphic_proccessor,storage_type,hz_screen,web_camera,brand,video_memory,chipset,hdd_capacity
laptop,"Apple MacBook Pro 14 M5 16/512 Silver Ноутбук 14.2"", RAM 16 ГБ, SSD 512 ГБ, MacOS, (MW2W3), серебристый, белый, Английская раскладка",1266184,2346782,105516,4.9,257,Mascot,4.9,https://www.ozon.kz/product/apple-macbook-pro-14-m5-16-512-silver-noutbuk-14-2-ram-16-gb-ssd-512-gb-macos-mw2w3-3047060073/,,512,,MacOS,14.2,16.0,24.0,1.55,IPS,,Алюминий,Apple M5,Apple,,10.0,3024x1964,,Нет,,Глянцевое,Встроенная,Apple,SSD,120,,Apple,,,
laptop,"Ноутбук Макбук Эйр 15 М4 /256 ГБ/ Starlight Ноутбук 15.3"", Apple M4 (10C CPU, 10C GPU), RAM 16 ГБ 256 ГБ, Apple M4 GPU (10-Core), MacOS, серебристый, Русская раскладка",,,158628,,,Plata Tech,5.0,https://www.ozon.kz/product/noutbuk-makbuk-eyr-15-m4-256-gb-starlight-noutbuk-15-3-apple-m4-10c-cpu-10c-gpu-ram-16-gb-256-3475382529/,"Apple M4 (10C CPU, 10C GPU)",256,Apple M4 GPU (10-Core),MacOS,15.3,16.0,18.0,1.51,IPS,,Алюминий,Apple M4,Apple,,10.0,2880x1864,,Нет,66.5,Антибликовое,Встроенная,,,60,12,,,,
laptop,"Redmi Book 16 Pro JYU4592CN Ноутбук 16"", Intel Core Ultra 5 125H, RAM 32 ГБ, SSD 1024 ГБ, Intel Arc Graphics, Windows Home, серый, хром, Русская раскладка",1188432,4228348,99036,5.0,150,ElectroShop,4.9,https://www.ozon.kz/product/redmi-book-16-pro-jyu4592cn-noutbuk-16-intel-core-ultra-5-125h-ram-32-gb-ssd-1024-gb-intel-3700999478/,Intel Core Ultra 5 125H,1024,Intel Arc Graphics,Windows Home,16.0,32.0,27.0,1.9,IPS,LPDDR5,Металл,Intel Core Ultra 5,Intel,3.6,14.0,3072x1920,500.0,,99.0,Матовое,Встроенная,Intel,SSD,165,,Redmi,,Intel,
laptop,"ASUS Ноутбук, Intel Core L7200, RAM 1,5 ГБ 120 ГБ, розовый, серебристый",,,5803,,,Правильные ноутбуки S...,,https://www.ozon.kz/product/asus-noutbuk-intel-core-l7200-ram-1-5-gb-120-gb-rozovyy-serebristyy-3356758439/,Intel Core L7200,,,,,1.5,,,,DDR2,,Intel Core 2 Duo,Intel,,,,,,,,,,,,,,,,120
laptop,"Redmi Book 14 Pro JYU4651CN Ноутбук 14"", Intel Core Ultra 5 225H, RAM 16 ГБ, SSD 1024 ГБ, Intel Arc Graphics, Windows Home, синий, Русская раскладка",1088783,3763814,90732,5.0,85,ElectroShop,4.9,https://www.ozon.kz/product/redmi-book-14-pro-jyu4651cn-noutbuk-14-intel-core-ultra-5-225h-ram-16-gb-ssd-1024-gb-intel-arc-2339158329/,Intel Core Ultra 5 225H,1024,Intel Arc Graphics,Windows Home,14.0,16.0,,1.45,IPS,LPDDR5X,Металл,Intel Core Ultra 5,Intel,4.3,14.0,2880x1800,500.0,,80.0,Матовое,Встроенная,Intel,SSD,120,,Redmi,,Intel,
laptop,,,,,,,,,https://www.ozon.kz/product/lenovo-yoga-slim-7-14imh9-noutbuk-14-intel-core-ultra-5-125h-ram-16-gb-ssd-512-gb-intel-arc-graphics-2959760231/,Intel Core Ultra 5 125H,512,Intel Arc Graphics,Без системы,14.0,16.0,,1.39,OLED,DDR5,Алюминий,Intel Core Ultra 5,Intel,1.2,14.0,1920x1200,400.0,,65.0,Глянцевое,Встроенная,Intel,SSD,60,2.0,Lenovo,,,
laptop,,,,,,,,,https://www.ozon.kz/product/asus-rog-strix-g18-g815jpr-s9042-bez-po-noutbuk-18-intel-core-i9-14900hx-ram-32-gb-ssd-1024-3411213553/,Intel Core i9-14900HX,1024,NVIDIA GeForce RTX 5070 для ноутбуков (8 Гб),Без системы,18.0,32.0,,3.2,IPS,DDR5,"Металл, Пластик",Intel Core i9,Intel,2.39,24.0,2560x1600,,,90.0,Матовое,Дискретная,NVIDIA,SSD,240,2.0,,8.0,Intel,
laptop,,,,,,,,,https://www.ozon.kz/product/lenovo-ideapad-slim-3-16abr8-noutbuk-16-amd-ryzen-7-7730u-ram-8-gb-ssd-512-gb-amd-radeon-graphics-1680026129/,AMD Ryzen 7 7730U,512,AMD Radeon Graphics,Без системы,16.0,8.0,8.0,1.74,IPS,DDR4,ABS пластик,AMD Ryzen 7,AMD,4.5,8.0,1920x1200,300.0,Нет,47.0,Матовое,Встроенная,AMD,SSD,60,2.0,Lenovo,,AMD SoC Platform,
laptop,"ASUS Ноутбук 17"", Intel Core i3-1215U, RAM 12 ГБ, SSD 1000 ГБ, Intel UHD Graphics, Windows Pro, Русская раскладка",,,41536,4.0,1,Омега,4.9,https://www.ozon.kz/product/asus-noutbuk-17-intel-core-i3-1215u-ram-12-gb-ssd-1000-gb-intel-uhd-graphics-windows-pro-3530448047/,Intel Core i3-1215U,1000,Intel UHD Graphics,Windows Pro,17.0,12.0,6.0,2.0,IPS,GDDR4,Пластик,Intel Core i3,Intel,3.4,6.0,1920x1080,,Нет,,Матовое,Встроенная,Intel,SSD,60,,,,Intel,
laptop,"Azerty RB-1561 Ноутбук 15.6"", Intel N150, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, (120-1132), серый, Русская раскладка",233895,447180,19492,4.8,494,SamMarkt,4.8,https://www.ozon.kz/product/azerty-rb-1561-noutbuk-15-6-intel-n150-ram-16-gb-ssd-512-gb-intel-uhd-graphics-windows-pro-120-3045203039/,Intel N150,512,Intel UHD Graphics,Windows Pro,15.6,16.0,5.0,1.31,IPS,DDR4,ABS пластик,Intel N150,Intel,0.8,4.0,1920x1080,,Нет,60.0,Матовое,Встроенная,Intel,SSD,60,1.3,,,,
laptop,"Machcreator One D6 Ноутбук 16"", AMD Ryzen 5 7430U, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Без системы, (JJ00G700JRU), серый, Русская раскладка",261291,436028,21775,4.6,6,RBT,4.8,https://www.ozon.kz/product/machcreator-one-d6-noutbuk-16-amd-ryzen-5-7430u-ram-16-gb-ssd-512-gb-amd-radeon-graphics-bez-sistemy-3239895635/,AMD Ryzen 5 7430U,512,AMD Radeon Graphics,Без системы,16.0,16.0,7.0,1.9,IPS,DDR4,"Металл, Пластик",AMD Ryzen 5,AMD,2.3,6.0,1920x1200,300.0,Нет,55.0,Матовое,Встроенная,AMD,SSD,,2.0,,,,
laptop,,,,,,,,,https://www.ozon.kz/product/acer-igrovoy-noutbuk-17-0-intel-processor-n100-ram-8-gb-ssd-256-gb-intel-uhd-graphics-xe-24eus-3497712847/,Intel Processor N100,256,Intel UHD Graphics Xe 24EUs,Windows Pro,17.0,8.0,4.0,2.7,IPS,DDR5,Пластик,Intel N-series,Intel,2.8,4.0,1920x1080,,Нет,,Матовое,Встроенная,Intel,SSD,60,,,,Intel,
laptop,"ASUS Ноутбук 17.3"", Intel Core 5 210H, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3050 для ноутбуков (4 Гб), Без системы, (90NR0MY5-M003R0), серый",,,49526,,,КомпьютерМаркет,4.8,https://www.ozon.kz/product/asus-noutbuk-17-3-intel-core-5-210h-ram-16-gb-ssd-512-gb-nvidia-geforce-rtx-3050-dlya-noutbukov-4-3192411733/,Intel Core 5 210H,512,NVIDIA GeForce RTX 3050 для ноутбуков (4 Гб),Без системы,17.3,16.0,,2.6,IPS,DDR5,"Пластик, Алюминий",Intel Core 5,Intel,2.2,8.0,1920x1080,300.0,Нет,56.0,Матовое,Дискретная,NVIDIA,SSD,144,1,,6.0,,
laptop,,,,,,,,,https://www.ozon.kz/product/acer-aspire-lite-al16-52p-52jz-16-1920x1200-noutbuk-16-intel-core-i5-1334u-ram-8-gb-ssd-512-gb-2189348963/,Intel Core i5-1334U,512,Intel Iris Xe Graphics,Без системы,16.0,8.0,,1.7,IPS,DDR5,Металл,Intel Core i5,Intel,1.3,10.0,1920x1200,,,65.0,Матовое,Встроенная,Intel,SSD,60,1,Acer,,,
laptop,"Acer Игровой ноутбук 16"", AMD Ryzen 5 240, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 5060 для ноутбуков (8 Гб), Без системы, (NH.U1GER.001), черный, Русская раскладка. Уцененный товар",621865,805132,51823,,,Ozon Россия,4.9,https://www.ozon.kz/product/acer-igrovoy-noutbuk-16-amd-ryzen-5-240-ram-16-gb-ssd-512-gb-nvidia-geforce-rtx-5060-dlya-noutbukov-3815483867/,AMD Ryzen 5 240,512,NVIDIA GeForce RTX 5060 для ноутбуков (8 Гб),Без системы,16.0,16.0,,,IPS,DDR5,,AMD Ryzen 5,AMD,5.0,6.0,1920x1200,,Нет,,,Дискретная,NVIDIA,SSD,180,,Acer,8.0,,
