category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,url,article,screen_diagonal,ram,os,internal_storage,screen_size,cpu,main_camera,matrix,type_of_tablet,brand,announcement_year,android_version,hz_screen,ppi,processor_brand,processor_cores,ghz_processor,brand_graphic_proccessor,video_processor,front_camera,keyboard,case_material,waterproof,battery_capacity,accessories_included,dimensions,weight_g,country_of_origin,ios_version,harmonyos_version
tablets,"Samsung Планшет Galaxy Tab S11 Ultra 5G, 14.6"" 12 ГБ/512 ГБ, темно-серый, серебристый",,,69431.0,5.0,1,СмартТВ,4.8,https://www.ozon.kz/product/samsung-planshet-galaxy-tab-s11-ultra-5g-14-6-12-gb-512-gb-temno-seryy-serebristyy-2902199570/,2902199570,14.6,12.0,Android,512,2960x1848,Dimensity 9400,13.0,Dynamic AMOLED 2X,Планшет,Samsung,2025,Android 15,120,274.0,MediaTek,8,3.62,,,12.0,,Металл,Да,11600,Стилус,208.5х326.3х5.1,692.0,Вьетнам,,
tablets,"HUAWEI Планшет, 12.2"" 12 ГБ/512 ГБ, зеленый",426024.0,557456.0,35502.0,5.0,5,Эльдорадо,4.8,https://www.ozon.kz/product/huawei-planshet-12-2-12-gb-512-gb-zelenyy-2366500462/,2366500462,12.2,12.0,Другая,512,1840x2800,Kirin 9020,50.0,OLED,Планшет,,,,,,HiSilicon,8,2.0,,,8.0,Есть,Металл,,10100,,182.53x271.25x5.5,508.0,Китай,,
tablets,"Брандинимо Планшет, 10.1"" 16 ГБ/1020 ГБ, серый, серебристый",46824.0,504460.0,3902.0,4.5,24,Брандинимо,4.6,https://www.ozon.kz/product/branmand-brend-planshet-10-1-16-gb-1020-gb-seryy-serebristyy-3497665047/,3497665047,10.1,16.0,Android,1020,1280x800,MT6755,13.0,IPS,Планшет,,2025,Android 15,90,160.0,MediaTek,8,2.0,MediaTek,,8.0,Есть,"Металл, Пластик",Нет,8000,"Клавиатура, Стилус",160x240x290,340.0,,,
tablets,"Планшет Tab 17 Pro, 10.1"" 16 ГБ/1024 ГБ, синий",54856.0,424368.0,4572.0,5.0,25,PhotonBoost Store,4.5,https://www.ozon.kz/product/planshet-tab-17-pro-10-1-16-gb-1024-gb-siniy-3821609994/,3821609994,10.1,16.0,Android,1024,2560x1600,Snapdragon 8 Gen3,32.0,IPS,Планшет,,2026,Android 15,120,298.9,Qualcomm,8,3.3,Adreno,Adreno 750,16.0,Есть,"Металл, Стекло",Да,10000,Клавиатура,214*160*8.7,365.0,Китай,,
tablets,"Планшет Планшет 2026 года выпуска, Новый 5G Android 13, 10,36"", 16 ГБ +1 ТБ, 12000 мАч, 14-ядерный процессор, Wi-Fi, Большая сеть беспроводная, Русская Bluetooth-Клавиатура, Планшетная Пк. гарнитура, Bluetooth-гарнитура, Обычное устройство, Сенсорная ручка, 10.36"" 16 ГБ/1024 ГБ, черно-серый, черный",46016.0,161659.0,3835.0,5.0,3,Компьютерный магази...,4.9,https://www.ozon.kz/product/planshet-planshet-2026-goda-vypuska-novyy-5g-android-13-10-36-16-gb-1-tb-12000-mach-14-3785729448/,3785729448,10.36,16.0,Android,1024,2560x1600,,32.0,IPS,Планшет,,2026,Android 13,,,MediaTek,14,3.2,MediaTek,,16.0,Есть,Металл,Да,12000,Клавиатура,300*200*50,500.0,Китай,,
tablets,"Планшет 2026 Планшет Tab S20 Pro,  года оснащен флагманским чипом Snapdragon и аккумулятором емкостью 12000 мАч, работает под управлением Android 15 и поставляется с полным набором аксессуаров, 11.2"" 12 ГБ/256 ГБ, черный матовый",41701.0,139640.0,3476.0,4.9,49,V.T Магазин планшетов,4.9,https://www.ozon.kz/product/planshet-2026-planshet-tab-s20-pro-goda-osnashchen-flagmanskim-chipom-snapdragon-i-akkumulyatorom-3688807382/,3688807382,11.2,12.0,Android,256,2560x1600,,48.0,Super IPS+,Планшет,,2026,Android 15,90,349.0,Qualcomm,8,2.99,Qualcomm,,24.0,Есть,Металл,,12000,"Клавиатура, Стилус",251*173*7,499.0,,,
tablets,"Teclast Планшет T70 Клавиатура+чехол, 14"" 8 ГБ/256 ГБ, темно-синий",,,11509.0,4.8,4910,"ООО ""МАГ ДЕВАЙС""",4.9,https://www.ozon.kz/product/teclast-planshet-t70-klaviatura-chehol-14-8-gb-256-gb-temno-siniy-2059790635/,2059790635,14.0,8.0,Android,256,1920x1200,G99 Ultimate,13.0,IPS,Планшет,Teclast,2025,Android 14,60,162.0,MediaTek,8,2.2,ARM,Mali-G57 MC2,8.0,Есть,"Металл, Пластик",Нет,10000,Клавиатура, 325×214×8.6,960.0,Китай,,
tablets,"Детский планшет, 7"" 8 ГБ, лиловый",31318.0,316462.0,2610.0,,,Магазин 3854971,4.6,https://www.ozon.kz/product/detskiy-planshet-7-8-gb-lilovyy-3642476286/,3642476286,7.0,,Android,8,1920x860,Cortex-A53,,IPS,Детский планшет,,2025,Android 12,60,333.0,ARM,2,1.5,,,,,Металл,Нет,5000,,320*180*120,800.0,Китай,,
tablets,"Планшет6 ГБ, черный",19499.0,36531.0,1625.0,4.0,28,Wazutik,4.8,https://www.ozon.kz/product/planshet6-gb-chernyy-2072893905/,2072893905,,,,6,,,,,Планшет,,,,,,,,,,,,,,,,,,,Китай,,
tablets,"Samsung Планшет Galaxy Tab A11 LTE, 8.7"" 8 ГБ/128 ГБ, серый",,,8459.0,5.0,2,E-BONUS,4.9,https://www.ozon.kz/product/samsung-planshet-galaxy-tab-a11-lte-8-7-8-gb-128-gb-seryy-3486819883/,3486819883,8.7,8.0,Android,128,1340x800,Helio G99,8.0,TFT LCD,Планшет,,2025,Android 15,90,,MediaTek,8,2.5,ARM,Mali-G615 MC2,5.0,,Металл,,5100,,211.0 x 124.7 x 8.0,337.0,Китай,,
