category,name_card,price,price_old,price_installment,rating_card,reviews_card,name_seller,rating_seller,cpu,ssd_capacity,gpu_full_name,os,screen_diagonal,ram,auto_time,weight_kg,matrix,ram_type,case_material,cpu_model,processor_brand,ghz_processor,processor_cores,screen_size,touch_screen,battery_capacity,screen_coating,gpu_type,brand_graphic_proccessor,storage_type,hz_screen,web_camera,discount_abs,discount_pct,ram_per_core,high_refresh_rate,cpu_power_proxy,res_w,res_h,pixel_count
laptop,"Ноутбук Макбук Эйр 15 М4 /256 ГБ/ Starlight Ноутбук 15.3"", Apple M4 (10C CPU, 10C GPU), RAM 16 ГБ 256 ГБ, Apple M4 GPU (10-Core), MacOS, серебристый, Русская раскладка",424220.0,834731.0,158628.0,4.9,30.0,Plata Tech,5.0,"Apple M4 (10C CPU, 10C GPU)",256.0,Apple M4 GPU (10-Core),MacOS,15.3,16.0,18.0,1.51,IPS,no_data,Алюминий,Apple M4,Apple,2.6,10.0,2880x1864,Нет,66.5,Антибликовое,Встроенная,no_data,no_data,60.0,12.0,410511.0,49.18,1.6,False,26.0,2880.0,1864.0,5368320.0
laptop,"Redmi Book 16 Pro JYU4592CN Ноутбук 16"", Intel Core Ultra 5 125H, RAM 32 ГБ, SSD 1024 ГБ, Intel Arc Graphics, Windows Home, серый, хром, Русская раскладка",1188432.0,4228348.0,99036.0,5.0,150.0,ElectroShop,4.9,Intel Core Ultra 5 125H,1024.0,Intel Arc Graphics,Windows Home,16.0,32.0,27.0,1.9,IPS,LPDDR5,Металл,Intel Core Ultra 5,Intel,3.6,14.0,3072x1920,no_data,99.0,Матовое,Встроенная,Intel,SSD,165.0,2.0,3039916.0,71.89,2.2857142857142856,True,50.4,3072.0,1920.0,5898240.0
laptop,"ASUS Ноутбук, Intel Core L7200, RAM 1,5 ГБ 120 ГБ, розовый, серебристый",424220.0,834731.0,5803.0,4.9,30.0,Правильные ноутбуки S...,4.8,Intel Core L7200,512.0,no_data,no_data,15.6,1.5,7.0,1.7,no_data,DDR2,no_data,Intel Core 2 Duo,Intel,2.6,8.0,no_data,no_data,56.0,no_data,no_data,no_data,no_data,60.0,2.0,410511.0,49.18,0.1875,False,20.8,1920.0,1080.0,2073600.0
laptop,"Redmi Book 14 Pro JYU4651CN Ноутбук 14"", Intel Core Ultra 5 225H, RAM 16 ГБ, SSD 1024 ГБ, Intel Arc Graphics, Windows Home, синий, Русская раскладка",1088783.0,3763814.0,90732.0,5.0,85.0,ElectroShop,4.9,Intel Core Ultra 5 225H,1024.0,Intel Arc Graphics,Windows Home,14.0,16.0,7.0,1.45,IPS,LPDDR5X,Металл,Intel Core Ultra 5,Intel,4.3,14.0,2880x1800,no_data,80.0,Матовое,Встроенная,Intel,SSD,120.0,2.0,2675031.0,71.07,1.1428571428571428,True,60.199999999999996,2880.0,1800.0,5184000.0
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,Intel Core Ultra 5 125H,512.0,Intel Arc Graphics,Без системы,14.0,16.0,7.0,1.39,OLED,DDR5,Алюминий,Intel Core Ultra 5,Intel,1.2,14.0,1920x1200,no_data,65.0,Глянцевое,Встроенная,Intel,SSD,60.0,2.0,410511.0,49.18,1.1428571428571428,False,16.8,1920.0,1200.0,2304000.0
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,Intel Core i9-14900HX,1024.0,NVIDIA GeForce RTX 5070 для ноутбуков (8 Гб),Без системы,18.0,32.0,7.0,3.2,IPS,DDR5,"Металл, Пластик",Intel Core i9,Intel,2.39,24.0,2560x1600,no_data,90.0,Матовое,Дискретная,NVIDIA,SSD,240.0,2.0,410511.0,49.18,1.3333333333333333,True,57.36,2560.0,1600.0,4096000.0
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,AMD Ryzen 7 7730U,512.0,AMD Radeon Graphics,Без системы,16.0,8.0,8.0,1.74,IPS,DDR4,ABS пластик,AMD Ryzen 7,AMD,4.5,8.0,1920x1200,Нет,47.0,Матовое,Встроенная,AMD,SSD,60.0,2.0,410511.0,49.18,1.0,False,36.0,1920.0,1200.0,2304000.0
laptop,"ASUS Ноутбук 17"", Intel Core i3-1215U, RAM 12 ГБ, SSD 1000 ГБ, Intel UHD Graphics, Windows Pro, Русская раскладка",424220.0,834731.0,41536.0,4.0,1.0,Омега,4.9,Intel Core i3-1215U,1000.0,Intel UHD Graphics,Windows Pro,17.0,12.0,6.0,2.0,IPS,GDDR4,Пластик,Intel Core i3,Intel,3.4,6.0,1920x1080,Нет,56.0,Матовое,Встроенная,Intel,SSD,60.0,2.0,410511.0,49.18,2.0,False,20.4,1920.0,1080.0,2073600.0
laptop,"Azerty RB-1561 Ноутбук 15.6"", Intel N150, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, (120-1132), серый, Русская раскладка",233895.0,447180.0,19492.0,4.8,494.0,SamMarkt,4.8,Intel N150,512.0,Intel UHD Graphics,Windows Pro,15.6,16.0,5.0,1.31,IPS,DDR4,ABS пластик,Intel N150,Intel,0.8,4.0,1920x1080,Нет,60.0,Матовое,Встроенная,Intel,SSD,60.0,1.3,213285.0,47.7,4.0,False,3.2,1920.0,1080.0,2073600.0
laptop,"Machcreator One D6 Ноутбук 16"", AMD Ryzen 5 7430U, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Без системы, (JJ00G700JRU), серый, Русская раскладка",261291.0,436028.0,21775.0,4.6,6.0,RBT,4.8,AMD Ryzen 5 7430U,512.0,AMD Radeon Graphics,Без системы,16.0,16.0,7.0,1.9,IPS,DDR4,"Металл, Пластик",AMD Ryzen 5,AMD,2.3,6.0,1920x1200,Нет,55.0,Матовое,Встроенная,AMD,SSD,60.0,2.0,174737.0,40.07,2.6666666666666665,False,13.799999999999999,1920.0,1200.0,2304000.0
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,Intel Processor N100,256.0,Intel UHD Graphics Xe 24EUs,Windows Pro,17.0,8.0,4.0,2.7,IPS,DDR5,Пластик,Intel N-series,Intel,2.8,4.0,1920x1080,Нет,56.0,Матовое,Встроенная,Intel,SSD,60.0,2.0,410511.0,49.18,2.0,False,11.2,1920.0,1080.0,2073600.0
laptop,"ASUS Ноутбук 17.3"", Intel Core 5 210H, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3050 для ноутбуков (4 Гб), Без системы, (90NR0MY5-M003R0), серый",424220.0,834731.0,49526.0,4.9,30.0,КомпьютерМаркет,4.8,Intel Core 5 210H,512.0,NVIDIA GeForce RTX 3050 для ноутбуков (4 Гб),Без системы,17.3,16.0,7.0,2.6,IPS,DDR5,"Пластик, Алюминий",Intel Core 5,Intel,2.2,8.0,1920x1080,Нет,56.0,Матовое,Дискретная,NVIDIA,SSD,144.0,1.0,410511.0,49.18,2.0,True,17.6,1920.0,1080.0,2073600.0
laptop,,424220.0,834731.0,37342.0,4.9,30.0,no_data,4.8,Intel Core i5-1334U,512.0,Intel Iris Xe Graphics,Без системы,16.0,8.0,7.0,1.7,IPS,DDR5,Металл,Intel Core i5,Intel,1.3,10.0,1920x1200,no_data,65.0,Матовое,Встроенная,Intel,SSD,60.0,1.0,410511.0,49.18,0.8,False,13.0,1920.0,1200.0,2304000.0
laptop,"Acer Игровой ноутбук 16"", AMD Ryzen 5 240, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 5060 для ноутбуков (8 Гб), Без системы, (NH.U1GER.001), черный, Русская раскладка. Уцененный товар",621865.0,805132.0,51823.0,4.9,30.0,Ozon Россия,4.9,AMD Ryzen 5 240,512.0,NVIDIA GeForce RTX 5060 для ноутбуков (8 Гб),Без системы,16.0,16.0,7.0,1.7,IPS,DDR5,no_data,AMD Ryzen 5,AMD,5.0,6.0,1920x1200,Нет,56.0,no_data,Дискретная,NVIDIA,SSD,180.0,2.0,183267.0,22.76,2.6666666666666665,True,30.0,1920.0,1200.0,2304000.0
laptop,"Honor MagicBook X16 Plus 2024 Ноутбук 16"", AMD Ryzen 7 8845H, RAM 32 ГБ, SSD 1000 ГБ, AMD Radeon 780M, (Windows 11 Pro), серебристый, Русская раскладка",671797.0,1246290.0,55984.0,4.9,124.0,Комп-Бутик,4.9,AMD Ryzen 7 8845H,1000.0,AMD Radeon 780M,no_data,16.0,32.0,7.0,1.79,IPS,LPDDR5,Алюминиевый сплав,AMD Ryzen 7,Intel,5.1,8.0,2560x1600,Нет,75.0,no_data,Встроенная,AMD,SSD,120.0,2.0,574493.0,46.1,4.0,True,40.8,2560.0,1600.0,4096000.0
laptop,"Lenovo LOQ 15AHP10 Игровой ноутбук 15.60"", AMD Ryzen 7 250, RAM 16 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 5050 для ноутбуков (8 Гб), Windows Home, (83JG006RUS), серый, Русская раскладка",734432.0,891552.0,61203.0,3.0,2.0,Ozon Россия,4.9,AMD Ryzen 7 250,512.0,NVIDIA GeForce RTX 5050 для ноутбуков (8 Гб),Windows Home,15.6,16.0,4.0,2.4,IPS,DDR5,ABS пластик,AMD Ryzen 7,AMD,5.1,8.0,1920x1080,no_data,60.0,Антибликовое,Гибридная,AMD,SSD,144.0,5.0,157120.0,17.62,2.0,True,40.8,1920.0,1080.0,2073600.0
